session_id,user_id,task,phase,t_ms,type,x,y,pressure,tiltX,tiltY,extra,json
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,36312,pointerdown,757.5,486.6666564941406,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":36312;"x":757.5;"y":486.6666564941406;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,36313,tap_down,757.5,486.6666564941406,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":36313;"x":757.5;"y":486.6666564941406;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,36378,pointerup,757.5,486.6666564941406,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":36378;"x":757.5;"y":486.6666564941406;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,36379,tap_up,757.5,486.6666564941406,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":36379;"x":757.5;"y":486.6666564941406;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":66;"errorDistance":29;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,36581,target_spawn,718,533,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":36581;"x":718;"y":533;"pressure":"";"tiltX":"";"tiltY":"";"radius":86.92095764703996;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37027,pointerdown,729.1666870117188,560.8333129882812,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":37027;"x":729.1666870117188;"y":560.8333129882812;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37027,tap_down,729.1666870117188,560.8333129882812,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":37027;"x":729.1666870117188;"y":560.8333129882812;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37071,pointermove,729.1666870117188,561.6666259765625,0.5,0,0,{"velocity":0.018938931551846592;"dx":0;"dy":0.83331298828125;"dt":44},{"task":"tap_targets";"phase":"run";"type":"pointermove";"t_ms":37071;"x":729.1666870117188;"y":561.6666259765625;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{"velocity":0.018938931551846592;"dx":0;"dy":0.83331298828125;"dt":44}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37074,pointerup,729.1666870117188,561.6666259765625,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":37074;"x":729.1666870117188;"y":561.6666259765625;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37074,tap_up,729.1666870117188,561.6666259765625,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":37074;"x":729.1666870117188;"y":561.6666259765625;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":47;"errorDistance":31;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37280,target_spawn,795,606,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":37280;"x":795;"y":606;"pressure":"";"tiltX":"";"tiltY":"";"radius":136.12292998186405;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37811,pointerdown,786.6666870117188,572.5,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":37811;"x":786.6666870117188;"y":572.5;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37811,tap_down,786.6666870117188,572.5,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":37811;"x":786.6666870117188;"y":572.5;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37827,pointerup,786.6666870117188,572.5,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":37827;"x":786.6666870117188;"y":572.5;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,37828,tap_up,786.6666870117188,572.5,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":37828;"x":786.6666870117188;"y":572.5;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":16;"errorDistance":34;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,38038,target_spawn,945,604,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":38038;"x":945;"y":604;"pressure":"";"tiltX":"";"tiltY":"";"radius":41.44290285362814;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,38907,pointerdown,943.3333129882812,598.3333129882812,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":38907;"x":943.3333129882812;"y":598.3333129882812;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,38907,tap_down,943.3333129882812,598.3333129882812,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":38907;"x":943.3333129882812;"y":598.3333129882812;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,38965,pointerup,943.3333129882812,598.3333129882812,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":38965;"x":943.3333129882812;"y":598.3333129882812;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,38965,tap_up,943.3333129882812,598.3333129882812,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":38965;"x":943.3333129882812;"y":598.3333129882812;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":58;"errorDistance":6;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,39169,target_spawn,805,344,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":39169;"x":805;"y":344;"pressure":"";"tiltX":"";"tiltY":"";"radius":138.8531303677371;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,40006,pointerdown,840.8333129882812,385,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":40006;"x":840.8333129882812;"y":385;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
